source,line,function,wrapper,recognized_guard_calls
apps/api/convex/agent/knowledgeBackfill.ts,345,getStatus,publicQuery,isActiveOrgMember
apps/api/convex/agent/knowledgeBackfill.ts,367,cancel,adminMutation,requireAdminContext
apps/api/convex/agent/shadowScorecard.ts,270,getShadowScorecard,adminQuery,assertFeatureEnabled
apps/api/convex/agentConfigMutations.ts,40,getConfig,publicQuery,isActiveOrgMember
apps/api/convex/agentConfigMutations.ts,59,updateConfig,adminMutation,requireAdminContext
apps/api/convex/agentConfigMutations.ts,199,killSwitch,adminMutation,requireAdminContext
apps/api/convex/agentHealth.ts,29,getDashboardMetrics,adminQuery,
apps/api/convex/agentHealth.ts,90,getMetricHistory,adminQuery,
apps/api/convex/agentHealth.ts,113,getCostByStep,adminQuery,
apps/api/convex/agentHealth.ts,173,getAccuracyTrend,adminQuery,
apps/api/convex/aiProviderConfig.ts,63,getConfig,authedQuery,
apps/api/convex/aiProviderConfigActions.ts,106,saveConfig,authedAction,
apps/api/convex/aiProviderConfigActions.ts,202,testConnection,authedAction,requireOrgPermission; assertOrgAdmin; asserted; requirePublic
apps/api/convex/aiProviderConfigActions.ts,269,listModels,authedAction,assertOrgAdmin; requirePublic
apps/api/convex/analytics/adaptiveDashboard.ts,120,getLayout,authedQuery,
apps/api/convex/analytics/adaptiveDashboard.ts,187,getAvailableCards,authedQuery,
apps/api/convex/analytics/adaptiveDashboard.ts,196,getRawLayout,authedQuery,
apps/api/convex/analytics/adaptiveDashboard.ts,214,saveLayout,authedMutation,
apps/api/convex/analytics/complianceTelemetry.ts,20,getComplianceTelemetry,authedQuery,
apps/api/convex/analytics/dashboard.ts,17,getStats,authedQuery,
apps/api/convex/analytics/dashboard.ts,58,getRecentActivity,authedQuery,
apps/api/convex/analytics/llmUsage.ts,215,getSpendByFeature,adminQuery,
apps/api/convex/analytics/llmUsage.ts,237,getSpendByProvider,adminQuery,
apps/api/convex/analytics/llmUsage.ts,322,getDecisionPlaneCounters,adminQuery,
apps/api/convex/analytics/reputationQueries.ts,58,getSendingOverview,authedQuery,
apps/api/convex/analytics/reputationQueries.ts,102,getCampaignSendEstimate,authedQuery,
apps/api/convex/analytics/reputationQueries.ts,302,getDeliveryDomainTable,authedQuery,
apps/api/convex/analytics/reputationSnapshots.ts,104,getDeliverySnapshots,authedQuery,
apps/api/convex/analytics/spendBudget.ts,403,getBudgetStatusAdmin,adminQuery,
apps/api/convex/assistant/conversations.ts,74,createConversation,assistantMutation,getMutationContext
apps/api/convex/assistant/conversations.ts,92,listConversations,assistantQuery,
apps/api/convex/assistant/conversations.ts,127,listMessages,assistantQuery,
apps/api/convex/assistant/conversations.ts,158,renameConversation,assistantMutation,getMutationContext
apps/api/convex/assistant/conversations.ts,173,deleteConversation,assistantMutation,getMutationContext
apps/api/convex/assistant/conversations.ts,188,sendMessage,assistantMutation,getMutationContext
apps/api/convex/assistant/conversations.ts,238,stopGeneration,assistantMutation,getMutationContext
apps/api/convex/auditLogs.ts,17,list,adminQuery,
apps/api/convex/auditLogs.ts,111,getStats,adminQuery,
apps/api/convex/auditLogs.ts,148,getActiveUsers,adminQuery,
apps/api/convex/auth/accessRequest.ts,47,request,authedIdentityMutation,requireAuthenticatedIdentity
apps/api/convex/auth/accessRequest.ts,112,listPending,adminQuery,getBetterAuthSessionWithRole
apps/api/convex/auth/accessRequest.ts,144,resolve,adminMutation,getBetterAuthSessionWithRole
apps/api/convex/auth/accountExport.ts,185,getExportPlan,authedAction,
apps/api/convex/auth/accountExport.ts,207,exportUserData,authedAction,
apps/api/convex/auth/accountExport.ts,235,acknowledgeExportArtifact,authedAction,
apps/api/convex/auth/accountExport.ts,252,exportUserDataPage,authedAction,requires
apps/api/convex/auth/accountManagement.ts,19,exportContactsForOrganization,authedQuery,requireOrgPermission
apps/api/convex/auth/accountManagement.ts,96,getPendingDeletionRequest,authedQuery,requireSelf
apps/api/convex/auth/accountManagement.ts,123,requestAccountDeletion,authedMutation,requireSelf
apps/api/convex/auth/accountManagement.ts,198,cancelAccountDeletion,publicMutation,requireSelf
apps/api/convex/auth/apiAuthHttp.ts,14,handleCors,httpAction,
apps/api/convex/auth/apiAuthHttp.ts,28,healthCheck,httpAction,
