source,line,method,path_or_local_mount,handler,protection_to_review
apps/api/convex/apiV1Http.ts,31,GET,/api/v1/health,healthCheck,public liveness
apps/api/convex/apiV1Http.ts,39,OPTIONS,/api/v1/contacts,handleCors,public preflight; no protected data
apps/api/convex/apiV1Http.ts,45,OPTIONS,/api/v1/contacts/*,handleCors,public preflight; no protected data
apps/api/convex/apiV1Http.ts,52,OPTIONS,/api/v1/events,handleCors,public preflight; no protected data
apps/api/convex/apiV1Http.ts,59,OPTIONS,/api/v1/transactional,handleCors,public preflight; no protected data
apps/api/convex/apiV1Http.ts,66,OPTIONS,/api/v1/topics/*,handleCors,public preflight; no protected data
apps/api/convex/apiV1Http.ts,75,GET,/api/v1/contacts,listContacts,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,82,POST,/api/v1/contacts,createContact,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,89,GET,/api/v1/contacts/*,getContact,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,96,PUT,/api/v1/contacts/*,updateContact,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,103,DELETE,/api/v1/contacts/*,deleteContact,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,112,POST,/api/v1/events,sendEvent,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,121,POST,/api/v1/transactional,sendTransactional,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,130,POST,/api/v1/topics/*,addContactToTopic,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/apiV1Http.ts,137,DELETE,/api/v1/topics/*,removeContactFromTopic,"createAuthenticatedHandler: hashed API key, expiry/revocation, scopes, rate limit"
apps/api/convex/http.ts,41,POST,/storage/upload/begin,beginUpload,INSTANCE_SECRET service bearer; single-use capability claim / server-attested completion
apps/api/convex/http.ts,42,POST,/storage/upload/finish,finishUpload,INSTANCE_SECRET service bearer; single-use capability claim / server-attested completion
apps/api/convex/http.ts,43,POST,/storage/upload/abort,abortUpload,INSTANCE_SECRET service bearer; single-use capability claim / server-attested completion
apps/api/convex/http.ts,47,GET,/t/o/*,trackOpen,public capability or public content; token verification/resource state in handler
apps/api/convex/http.ts,54,GET,/t/c/*,trackClick,public capability or public content; token verification/resource state in handler
apps/api/convex/http.ts,63,POST,/unsub/*,handleOneClickUnsubscribe,public capability or public content; token verification/resource state in handler
apps/api/convex/http.ts,72,POST,/unsub/probe/*,handleSeedProbeUnsubscribe,public capability or public content; token verification/resource state in handler
apps/api/convex/http.ts,79,GET,/unsub/verify/*,verifyUnsubscribeToken,public capability or public content; token verification/resource state in handler
apps/api/convex/http.ts,86,OPTIONS,/unsub/verify/*,verifyUnsubscribeToken,public preflight; no protected data
